distance_m,lat,lon,elev_dem_m,delta_elev_m,grade_raw,grade_smoothed,grade_raw_pct,grade_smoothed_pct
13300,-12.45190657,130.933176,27.64435416,-1.189148204,-0.011891482,-0.014885231,-1.189148204,-1.488523109
13400,-12.45218445,130.9340513,26.45520596,-5.061600495,-0.050616005,-0.030528407,-5.061600495,-3.05284073
13500,-12.45246234,130.9349265,21.39360546,-3.559234841,-0.035592348,-0.028509566,-3.559234841,-2.85095658
13600,-12.45274022,130.9358018,17.83437062,-1.593842779,-0.015938428,-0.028285401,-1.593842779,-2.828540124
13700,-12.45302078,130.9366762,16.24052784,-1.099482382,-0.010994824,-0.018933898,-1.099482382,-1.89338984
13800,-12.4533043,130.9375496,15.14104546,-1.320999358,-0.013209994,-0.01127186,-1.320999358,-1.127186009
13900,-12.45359843,130.9384193,13.8200461,-0.494419519,-0.004944195,-0.005403322,-0.494419519,-0.540332235
14000,-12.45391885,130.9392794,13.32562658,0.75357232,0.007535723,-0.00454207,0.75357232,-0.454206974
14100,-12.45425238,130.9401342,14.0791989,-0.754981339,-0.007549813,-0.002386517,-0.754981339,-0.238651728
14200,-12.45459641,130.9409848,13.32421756,-0.458778376,-0.004587784,-0.001010508,-0.458778376,-0.101050813
14300,-12.45496783,130.9418234,12.86543919,0.055984143,0.000559841,-0.0048262,0.055984143,-0.482619963
14400,-12.45534012,130.9426616,12.92142333,-0.772704282,-0.007727043,-0.002774694,-0.772704282,-0.277469425
14500,-12.45571318,130.9434994,12.14871905,0.065620813,0.000656208,-0.000375141,0.065620813,-0.037514142
14600,-12.45608947,130.9443358,12.21433986,0.501042759,0.005010428,0.003142868,0.501042759,0.314286788
14700,-12.45646596,130.945172,12.71538262,1.463187862,0.014631879,0.005312737,1.463187862,0.531273712
14800,-12.45683999,130.9460093,14.17857048,0.095243415,0.000952434,0.002202923,0.095243415,0.220292293
14900,-12.45721303,130.9468471,14.2738139,-1.178304866,-0.011783049,0.00233346,-1.178304866,0.233345956
15000,-12.45758863,130.9476837,13.09550903,0.553257414,0.005532574,0.000730425,0.553257414,0.073042535
15100,-12.45796422,130.9485204,13.64876645,0.821974179,0.008219742,0.003191265,0.821974179,0.319126517
15200,-12.45834386,130.9493552,14.47074063,1.079579343,0.010795793,0.006155296,1.079579343,0.615529634
15300,-12.4587245,130.9501895,15.55031997,0.007307601,7.31E-05,0.006465065,0.007307601,0.646506454
15400,-12.45912811,130.9510121,15.55762757,0.677164693,0.006771647,0.002882821,0.677164693,0.288282064
15500,-12.4595829,130.9518068,16.23479226,-0.610923379,-0.006109234,-0.00092595,-0.610923379,-0.092595016
15600,-12.46009261,130.9525665,15.62386888,-0.443928978,-0.00443929,0.000851243,-0.443928978,0.085124286
15700,-12.46060231,130.9533262,15.17993991,0.718184809,0.007181848,-8.46E-05,0.718184809,-0.008460299
15800,-12.46111202,130.9540858,15.89812471,0.302826353,0.003028264,0.002773354,0.302826353,0.277335431
15900,-12.46160577,130.9548561,16.20095107,0.532259538,0.005322595,0.007118875,0.532259538,0.7118875
16000,-12.46207555,130.9556419,16.73321061,1.294279299,0.012942793,0.005616495,1.294279299,0.561649495
16100,-12.46250104,130.9564535,18.0274899,0.117232791,0.001172328,0.007626558,0.117232791,0.762655818
16200,-12.46287614,130.9572902,18.1447227,1.106851644,0.011068516,0.010323546,1.106851644,1.03235465
16300,-12.46319733,130.9581493,19.25157434,1.611054865,0.016110549,0.010948452,1.611054865,1.094845159
16400,-12.46348152,130.9590222,20.86262921,1.544241335,0.015442413,0.012974072,1.544241335,1.297407171
16500,-12.46371207,130.9599114,22.40687054,0.927480841,0.009274808,0.018940584,0.927480841,1.894058363
