dist_km,elev_m,slope_pct,headwind_ms
21.0,43.78816408,0.14654527237750017,0.0
21.1,41.68834712,0.18371800153008178,0.0
21.2,37.7331347,0.18679692603431308,0.0
21.3,33.57893224,0.15286174065599029,0.0
21.4,32.49749177,0.10442317016743347,0.0
21.5,32.0749776,0.08151210361897371,0.0
21.6,30.70975601,0.09821239647325211,0.0
21.7,30.98327397,0.0932768434788926,0.0
21.8,33.04234888,0.09231456139917782,0.0
21.9,35.49548474,0.12708744310168926,0.0
22.0,34.36918872,0.15289413521935843,0.0
22.1,31.36874044,0.15408057244863457,0.0
22.2,28.54918686,0.15046088510992492,0.0
22.3,27.244387,0.1673248122892943,0.0
22.4,25.71810191,0.22027272368918888,0.0
22.5,27.42774333,0.24531577168267235,0.0
22.6,31.57545697,0.2328769347217894,0.0
22.7,35.77783767,0.2156735138434044,0.0
22.8,37.35671366,0.2052611301915988,0.0
22.9,39.43019199,0.18519616992974477,0.0
23.0,40.9688543,0.1253359062529114,0.0
23.1,41.32675129,0.034832881959911195,0.0
23.2,42.48387585,-0.06188658417379714,0.0
23.3,41.59975706,-0.1542556871449648,0.0
23.4,43.03158409,-0.24482660941459358,0.0
23.5,42.66867329,-0.3096251882007153,0.0
23.6,44.01879302,-0.33711305873418973,0.0
23.7,44.24791594,-0.34305278913973614,0.0
23.8,43.24003506,-0.3282385867142068,0.0
23.9,43.56359608,-0.29036021379056365,0.0
24.0,44.15876034,-0.2610500778965076,0.0
24.1,45.01175387,-0.22874563303256942,0.0
24.2,44.6086216,-0.18287288158230128,0.0
24.3,44.83786484,-0.14197361983448503,0.0
24.4,45.11174807,-0.10553070427802425,0.0
24.5,43.86959612,-0.06729356895087335,0.0
24.6,44.98326032,-0.021433608490092928,0.0
24.7,44.52899028,-0.003973069580146671,0.0
24.8,43.74760344,-0.006335791968808735,0.0
24.9,41.05286595,-0.03174037870324753,0.0
25.0,39.15190004,-0.09282384405242397,0.0
25.1,38.99673386,-0.12868629094912207,0.0
25.2,37.82440865,-0.13184292708406817,0.0
25.3,37.06031816,-0.1489908555533134,0.0
25.4,38.15750346,-0.17004205275335382,0.0
25.5,36.87216582,-0.15172151390410704,0.0
25.6,34.89750764,-0.10685508544933318,0.0
25.7,30.76566986,-0.08795395454718005,0.0
25.8,26.13134243,-0.11387222210973391,0.0
25.9,24.84478147,-0.16033323000461053,0.0
